LR_Training_5fold_piT5
[K_Fold] λ = 0.001624 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.127890
[K_Fold] λ = 0.003793 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.130589
[K_Fold] λ = 0.008859 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.135831
[K_Fold] λ = 0.020691 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.141227
[K_Fold] λ = 0.048329 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.148473
[K_Fold] λ = 0.112884 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.153174
[K_Fold] λ = 0.263665 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.158046
[K_Fold] λ = 0.615848 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.158894
[K_Fold] λ = 1.438450 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.162317
[K_Fold] λ = 3.359818 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.163581
[K_Fold] λ = 7.847600 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.163890
[K_Fold] λ = 18.329807 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.163782
[K_Fold] λ = 42.813324 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.163658
[K_Fold] λ = 100.000000 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.163412
[K_Fold] λ = 0.000010 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.513878
[K_Fold] λ = 0.000023 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.515481
[K_Fold] λ = 0.000055 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.518811
[K_Fold] λ = 0.000127 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.519333
[K_Fold] λ = 0.000298 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.515140
[K_Fold] λ = 0.000695 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.522787
[K_Fold] λ = 0.001624 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.525885
[K_Fold] λ = 0.003793 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.532821
[K_Fold] λ = 0.008859 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.531631
[K_Fold] λ = 0.020691 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.540047
[K_Fold] λ = 0.048329 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.527206
[K_Fold] λ = 0.112884 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.573659
[K_Fold] λ = 0.263665 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.598377
[K_Fold] λ = 0.615848 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.614004
[K_Fold] λ = 1.438450 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.628558
[K_Fold] λ = 3.359818 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.632642
[K_Fold] λ = 7.847600 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.636682
[K_Fold] λ = 18.329807 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.636436
[K_Fold] λ = 42.813324 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.636559
